config,geometry,replication,method,grouped_loss,tail_loss
"R2 (4 groups, m=10)",linear,10,SMAA,0.4066819768524012,0.3156747552451852
"R2 (4 groups, m=10)",linear,11,SMAA,0.4541607149006747,0.3286347405478114
"R2 (4 groups, m=10)",linear,12,SMAA,0.42432021731542485,0.34641936352168173
"R2 (4 groups, m=10)",linear,13,SMAA,0.4506543731815871,0.3258854232813026
"R2 (4 groups, m=10)",linear,14,SMAA,0.3856039162667639,0.3597192006624574
"R2 (4 groups, m=10)",linear,15,SMAA,0.4527796593232707,0.37368112276045834
"R2 (4 groups, m=10)",linear,16,SMAA,0.42397629464968417,0.20381271199548448
"R2 (4 groups, m=10)",linear,17,SMAA,0.4560129988762489,0.3187652725443995
"R2 (4 groups, m=10)",linear,18,SMAA,0.3875467492089066,0.5435322558556924
"R2 (4 groups, m=10)",linear,19,SMAA,0.4482158341316411,0.3748714673987132
"R2 (4 groups, m=10)",linear,20,SMAA,0.44058851595521425,0.2880851793066469
"R2 (4 groups, m=10)",linear,21,SMAA,0.4490977912158352,0.33077557583825173
"R2 (4 groups, m=10)",linear,22,SMAA,0.405383312033537,0.20299756692898668
"R2 (4 groups, m=10)",linear,23,SMAA,0.42710681144260454,0.3600537554848746
"R2 (4 groups, m=10)",linear,24,SMAA,0.4258083334092215,0.22012308311047016
"R2 (4 groups, m=10)",linear,25,SMAA,0.40902991472116224,0.352199640823268
"R2 (4 groups, m=10)",linear,26,SMAA,0.43412048457819596,0.3691990632204369
"R2 (4 groups, m=10)",linear,27,SMAA,0.4641836697668355,0.23389143025255782
"R2 (4 groups, m=10)",linear,28,SMAA,0.4742095362094724,0.3613611698187913
"R2 (4 groups, m=10)",linear,29,SMAA,0.43340321104561763,0.33087095339896755
"R2 (4 groups, m=10)",linear,0,MMR,0.441680159961126,0.42954710726571127
"R2 (4 groups, m=10)",linear,1,MMR,0.4472498626983595,0.3501464480340975
"R2 (4 groups, m=10)",linear,2,MMR,0.4606468758399162,0.3159293089280331
"R2 (4 groups, m=10)",linear,3,MMR,0.43776699479292563,0.3924589510929412
"R2 (4 groups, m=10)",linear,4,MMR,0.4128472448927882,0.4006711629778904
"R2 (4 groups, m=10)",linear,5,MMR,0.45547072414842016,0.38020309044856654
"R2 (4 groups, m=10)",linear,6,MMR,0.43706397228181154,0.42194959791787257
"R2 (4 groups, m=10)",linear,7,MMR,0.4215275060022929,0.38749412243489084
"R2 (4 groups, m=10)",linear,8,MMR,0.40654131794810877,0.34263023252268565
"R2 (4 groups, m=10)",linear,9,MMR,0.4716827621850384,0.2644710674890581
"R2 (4 groups, m=10)",linear,10,MMR,0.413423915526158,0.425493402838516
"R2 (4 groups, m=10)",linear,11,MMR,0.43722276224143947,0.41236616303999657
"R2 (4 groups, m=10)",linear,12,MMR,0.4353274584535249,0.3429297266519085
"R2 (4 groups, m=10)",linear,13,MMR,0.44518592563911075,0.20588908933625918
"R2 (4 groups, m=10)",linear,14,MMR,0.4184615183876073,0.3071167981247438
"R2 (4 groups, m=10)",linear,15,MMR,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,MMR,0.4362961051019005,0.2729292719002742
"R2 (4 groups, m=10)",linear,17,MMR,0.450500311634345,0.35018992273881383
"R2 (4 groups, m=10)",linear,18,MMR,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,MMR,0.444652828909193,0.3468354825024473
"R2 (4 groups, m=10)",linear,20,MMR,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,MMR,0.44425541553851844,0.30826700937828877
"R2 (4 groups, m=10)",linear,22,MMR,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,MMR,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,MMR,0.4284962784246103,0.32185991226946087
"R2 (4 groups, m=10)",linear,25,MMR,0.4235000566658803,0.3263204568669521
"R2 (4 groups, m=10)",linear,26,MMR,0.44874115594519065,0.27859865346716767
"R2 (4 groups, m=10)",linear,27,MMR,0.44996438953870516,0.3209563581966193
"R2 (4 groups, m=10)",linear,28,MMR,0.4570931143360887,0.39852016818492203
"R2 (4 groups, m=10)",linear,29,MMR,0.45289467070410533,0.417832798017386
"R2 (4 groups, m=10)",linear,0,LexPR,0.441680159961126,0.42954710726571127
"R2 (4 groups, m=10)",linear,1,LexPR,0.4395538999575016,0.5280955594353174
"R2 (4 groups, m=10)",linear,2,LexPR,0.4377855570758357,0.40103797295667376
"R2 (4 groups, m=10)",linear,3,LexPR,0.41742367388967344,0.4073129956488387
"R2 (4 groups, m=10)",linear,4,LexPR,0.42708049625123445,0.40487777661742974
"R2 (4 groups, m=10)",linear,5,LexPR,0.44651388812755405,0.4662328099827918
"R2 (4 groups, m=10)",linear,6,LexPR,0.42860007272199235,0.4973926919090631
"R2 (4 groups, m=10)",linear,7,LexPR,0.412639525406133,0.3684348937890758
"R2 (4 groups, m=10)",linear,8,LexPR,0.4448526672577163,0.531427569445367
"R2 (4 groups, m=10)",linear,9,LexPR,0.4716827621850384,0.2644710674890581
"R2 (4 groups, m=10)",linear,10,LexPR,0.46468911058646273,0.5052184685770365
"R2 (4 groups, m=10)",linear,11,LexPR,0.42660831929740795,0.3332475876856239
"R2 (4 groups, m=10)",linear,12,LexPR,0.4317641103415076,0.3709792555387023
"R2 (4 groups, m=10)",linear,13,LexPR,0.43925990287766015,0.4598768716422626
"R2 (4 groups, m=10)",linear,14,LexPR,0.4345092996938503,0.5160126383875452
"R2 (4 groups, m=10)",linear,15,LexPR,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,LexPR,0.4354504003932335,0.4369663117704163
"R2 (4 groups, m=10)",linear,17,LexPR,0.4527028688430714,0.39219521812337665
"R2 (4 groups, m=10)",linear,18,LexPR,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,LexPR,0.44105959435067205,0.4676066051111993
"R2 (4 groups, m=10)",linear,20,LexPR,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,LexPR,0.4389633483170037,0.5406094354722506
"R2 (4 groups, m=10)",linear,22,LexPR,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,LexPR,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,LexPR,0.43547141965721514,0.4677944816228249
"R2 (4 groups, m=10)",linear,25,LexPR,0.4345043647577002,0.4034269331003322
"R2 (4 groups, m=10)",linear,26,LexPR,0.45494904205640124,0.45426475872997246
"R2 (4 groups, m=10)",linear,27,LexPR,0.46320210976015724,0.4508863055818142
"R2 (4 groups, m=10)",linear,28,LexPR,0.4517447199260128,0.3716838030310179
"R2 (4 groups, m=10)",linear,29,LexPR,0.4304938143809875,0.4762002374321574
"R2 (4 groups, m=10)",linear,0,ReLexTail_0.02,0.441680159961126,0.42954710726571127
"R2 (4 groups, m=10)",linear,1,ReLexTail_0.02,0.4395538999575016,0.5280955594353174
"R2 (4 groups, m=10)",linear,2,ReLexTail_0.02,0.4377855570758357,0.40103797295667376
"R2 (4 groups, m=10)",linear,3,ReLexTail_0.02,0.41742367388967344,0.4073129956488387
"R2 (4 groups, m=10)",linear,4,ReLexTail_0.02,0.42708049625123445,0.40487777661742974
"R2 (4 groups, m=10)",linear,5,ReLexTail_0.02,0.44651388812755405,0.4662328099827918
"R2 (4 groups, m=10)",linear,6,ReLexTail_0.02,0.4336240636239777,0.3803915141330997
"R2 (4 groups, m=10)",linear,7,ReLexTail_0.02,0.412639525406133,0.3684348937890758
"R2 (4 groups, m=10)",linear,8,ReLexTail_0.02,0.428408901619196,0.4843086944790529
"R2 (4 groups, m=10)",linear,9,ReLexTail_0.02,0.4716827621850384,0.2644710674890581
"R2 (4 groups, m=10)",linear,10,ReLexTail_0.02,0.46468911058646273,0.5052184685770365
"R2 (4 groups, m=10)",linear,11,ReLexTail_0.02,0.42660831929740795,0.3332475876856239
"R2 (4 groups, m=10)",linear,12,ReLexTail_0.02,0.4317641103415076,0.3709792555387023
"R2 (4 groups, m=10)",linear,13,ReLexTail_0.02,0.44518592563911075,0.20588908933625918
"R2 (4 groups, m=10)",linear,14,ReLexTail_0.02,0.4184615183876073,0.3071167981247438
"R2 (4 groups, m=10)",linear,15,ReLexTail_0.02,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,ReLexTail_0.02,0.4354504003932335,0.4369663117704163
"R2 (4 groups, m=10)",linear,17,ReLexTail_0.02,0.4527028688430714,0.39219521812337665
"R2 (4 groups, m=10)",linear,18,ReLexTail_0.02,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,ReLexTail_0.02,0.44105959435067205,0.4676066051111993
"R2 (4 groups, m=10)",linear,20,ReLexTail_0.02,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,ReLexTail_0.02,0.4389633483170037,0.5406094354722506
"R2 (4 groups, m=10)",linear,22,ReLexTail_0.02,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,ReLexTail_0.02,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,ReLexTail_0.02,0.43032228559048574,0.34806977623959706
"R2 (4 groups, m=10)",linear,25,ReLexTail_0.02,0.4235000566658803,0.3263204568669521
"R2 (4 groups, m=10)",linear,26,ReLexTail_0.02,0.45494904205640124,0.45426475872997246
"R2 (4 groups, m=10)",linear,27,ReLexTail_0.02,0.46320210976015724,0.4508863055818142
"R2 (4 groups, m=10)",linear,28,ReLexTail_0.02,0.4517447199260128,0.3716838030310179
"R2 (4 groups, m=10)",linear,29,ReLexTail_0.02,0.4304938143809875,0.4762002374321574
"R2 (4 groups, m=10)",linear,0,ReLexTail_0.01,0.441680159961126,0.42954710726571127
"R2 (4 groups, m=10)",linear,1,ReLexTail_0.01,0.4395538999575016,0.5280955594353174
"R2 (4 groups, m=10)",linear,2,ReLexTail_0.01,0.4377855570758357,0.40103797295667376
"R2 (4 groups, m=10)",linear,3,ReLexTail_0.01,0.41742367388967344,0.4073129956488387
"R2 (4 groups, m=10)",linear,4,ReLexTail_0.01,0.42708049625123445,0.40487777661742974
"R2 (4 groups, m=10)",linear,5,ReLexTail_0.01,0.44651388812755405,0.4662328099827918
"R2 (4 groups, m=10)",linear,6,ReLexTail_0.01,0.4336240636239777,0.3803915141330997
"R2 (4 groups, m=10)",linear,7,ReLexTail_0.01,0.412639525406133,0.3684348937890758
"R2 (4 groups, m=10)",linear,8,ReLexTail_0.01,0.4448526672577163,0.531427569445367
"R2 (4 groups, m=10)",linear,9,ReLexTail_0.01,0.4716827621850384,0.2644710674890581
"R2 (4 groups, m=10)",linear,10,ReLexTail_0.01,0.46468911058646273,0.5052184685770365
"R2 (4 groups, m=10)",linear,11,ReLexTail_0.01,0.42660831929740795,0.3332475876856239
"R2 (4 groups, m=10)",linear,12,ReLexTail_0.01,0.4317641103415076,0.3709792555387023
"R2 (4 groups, m=10)",linear,13,ReLexTail_0.01,0.44518592563911075,0.20588908933625918
"R2 (4 groups, m=10)",linear,14,ReLexTail_0.01,0.4287953024861673,0.45816284860593764
"R2 (4 groups, m=10)",linear,15,ReLexTail_0.01,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,ReLexTail_0.01,0.4354504003932335,0.4369663117704163
"R2 (4 groups, m=10)",linear,17,ReLexTail_0.01,0.4527028688430714,0.39219521812337665
"R2 (4 groups, m=10)",linear,18,ReLexTail_0.01,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,ReLexTail_0.01,0.44105959435067205,0.4676066051111993
"R2 (4 groups, m=10)",linear,20,ReLexTail_0.01,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,ReLexTail_0.01,0.4389633483170037,0.5406094354722506
"R2 (4 groups, m=10)",linear,22,ReLexTail_0.01,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,ReLexTail_0.01,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,ReLexTail_0.01,0.43547141965721514,0.4677944816228249
"R2 (4 groups, m=10)",linear,25,ReLexTail_0.01,0.4235000566658803,0.3263204568669521
"R2 (4 groups, m=10)",linear,26,ReLexTail_0.01,0.45494904205640124,0.45426475872997246
"R2 (4 groups, m=10)",linear,27,ReLexTail_0.01,0.46320210976015724,0.4508863055818142
"R2 (4 groups, m=10)",linear,28,ReLexTail_0.01,0.4517447199260128,0.3716838030310179
"R2 (4 groups, m=10)",linear,29,ReLexTail_0.01,0.4304938143809875,0.4762002374321574
"R2 (4 groups, m=10)",linear,0,ReLexTail_0.005,0.441680159961126,0.42954710726571127
"R2 (4 groups, m=10)",linear,1,ReLexTail_0.005,0.4395538999575016,0.5280955594353174
"R2 (4 groups, m=10)",linear,2,ReLexTail_0.005,0.4377855570758357,0.40103797295667376
"R2 (4 groups, m=10)",linear,3,ReLexTail_0.005,0.41742367388967344,0.4073129956488387
"R2 (4 groups, m=10)",linear,4,ReLexTail_0.005,0.42708049625123445,0.40487777661742974
"R2 (4 groups, m=10)",linear,5,ReLexTail_0.005,0.44651388812755405,0.4662328099827918
"R2 (4 groups, m=10)",linear,6,ReLexTail_0.005,0.42860007272199235,0.4973926919090631
"R2 (4 groups, m=10)",linear,7,ReLexTail_0.005,0.412639525406133,0.3684348937890758
"R2 (4 groups, m=10)",linear,8,ReLexTail_0.005,0.4448526672577163,0.531427569445367
"R2 (4 groups, m=10)",linear,9,ReLexTail_0.005,0.4716827621850384,0.2644710674890581
"R2 (4 groups, m=10)",linear,10,ReLexTail_0.005,0.46468911058646273,0.5052184685770365
"R2 (4 groups, m=10)",linear,11,ReLexTail_0.005,0.42660831929740795,0.3332475876856239
"R2 (4 groups, m=10)",linear,12,ReLexTail_0.005,0.4317641103415076,0.3709792555387023
"R2 (4 groups, m=10)",linear,13,ReLexTail_0.005,0.44518592563911075,0.20588908933625918
"R2 (4 groups, m=10)",linear,14,ReLexTail_0.005,0.4345092996938503,0.5160126383875452
