problem_id,resample,n_obs,exact_recovered,tolerance_covered
35,3,20,1,1
35,4,20,0,0
35,0,50,1,1
35,1,50,1,1
35,2,50,0,0
35,3,50,1,1
35,4,50,1,1
35,0,100,1,1
35,1,100,1,1
35,2,100,1,1
35,3,100,1,1
35,4,100,1,1
36,0,1,1,1
36,1,1,0,0
36,2,1,0,0
36,3,1,0,0
36,4,1,1,1
36,0,2,0,0
36,1,2,0,0
36,2,2,0,0
36,3,2,0,0
36,4,2,0,0
36,0,5,1,1
36,1,5,0,0
36,2,5,1,1
36,3,5,0,0
36,4,5,1,1
36,0,10,0,0
36,1,10,1,1
36,2,10,0,0
36,3,10,0,0
36,4,10,0,0
36,0,20,1,1
36,1,20,1,1
36,2,20,1,1
36,3,20,1,1
36,4,20,1,1
36,0,50,0,0
36,1,50,1,1
36,2,50,1,1
36,3,50,1,1
36,4,50,0,0
36,0,100,1,1
36,1,100,1,1
36,2,100,1,1
36,3,100,1,1
36,4,100,1,1
37,0,1,0,0
37,1,1,0,0
37,2,1,0,0
37,3,1,0,0
37,4,1,0,0
37,0,2,0,0
37,1,2,0,0
37,2,2,0,0
37,3,2,0,0
37,4,2,0,0
37,0,5,0,0
37,1,5,1,1
37,2,5,0,0
37,3,5,0,0
37,4,5,0,0
37,0,10,0,0
37,1,10,1,1
37,2,10,0,0
37,3,10,0,0
37,4,10,0,0
37,0,20,1,1
37,1,20,1,1
37,2,20,0,0
37,3,20,1,1
37,4,20,1,1
37,0,50,1,1
37,1,50,1,1
37,2,50,1,1
37,3,50,1,1
37,4,50,1,1
37,0,100,1,1
37,1,100,1,1
37,2,100,1,1
37,3,100,1,1
37,4,100,0,0
38,0,1,0,0
38,1,1,0,0
38,2,1,0,0
38,3,1,0,0
38,4,1,0,0
38,0,2,0,0
38,1,2,0,0
38,2,2,0,0
38,3,2,0,0
38,4,2,0,0
38,0,5,0,0
38,1,5,0,0
38,2,5,0,0
38,3,5,0,0
38,4,5,0,0
38,0,10,0,0
38,1,10,0,0
38,2,10,0,0
38,3,10,0,0
38,4,10,0,0
38,0,20,1,1
38,1,20,0,0
38,2,20,0,0
38,3,20,0,0
38,4,20,0,0
38,0,50,1,1
38,1,50,0,0
38,2,50,0,0
38,3,50,0,0
38,4,50,1,1
38,0,100,1,1
38,1,100,0,0
