instance,family,m,data_split,mode,refused,tied_nominal,rival,decisive_coordinate,winner_enclosure_width,rival_enclosure_width,certified_at_root,max_D_width,mean_D_width
heavytail-3-1,heavytail,3,stress,joint,False,False,1,C_M,11.0,6.0,False,0.43440914715400547,0.10208126310339775
heavytail-3-2,heavytail,3,stress,independent,False,False,9,C_M,16.0,8.0,False,1.0,0.2333653097110454
heavytail-3-2,heavytail,3,stress,joint,False,False,9,C_M,2.0,8.0,True,0.9311601332033732,0.17834342864882127
heavytail-3-3,heavytail,3,stress,independent,False,False,7,C_M,10.0,0.0,False,0.6939223195691472,0.13539341686116235
heavytail-3-3,heavytail,3,stress,joint,False,False,7,C_M,2.0,0.0,False,0.4399907239091121,0.09582880289692505
heavytail-3-4,heavytail,3,stress,independent,False,False,7,C_M,0.0,13.0,True,0.647430386259221,0.15695381195565386
heavytail-3-4,heavytail,3,stress,joint,False,False,7,C_M,0.0,5.0,True,0.3978423299527736,0.1063961247509484
heavytail-3-5,heavytail,3,stress,independent,False,False,5,C_M,0.0,6.0,True,0.9347899414047077,0.20166142563000275
heavytail-3-5,heavytail,3,stress,joint,False,False,5,C_M,0.0,0.0,True,0.6340475713340381,0.1447887072698615
heavytail-3-6,heavytail,3,stress,independent,False,False,1,C_M,14.0,14.0,False,1.0,0.23094772561463853
heavytail-3-6,heavytail,3,stress,joint,False,False,1,C_M,0.0,7.0,True,0.8376790761261885,0.16257934995895698
heavytail-3-7,heavytail,3,stress,independent,False,False,5,C_M,0.0,10.0,True,0.4127250073339209,0.10285901917280742
heavytail-3-7,heavytail,3,stress,joint,False,False,5,C_M,0.0,5.0,True,0.23211078104324623,0.06317847347695697
heavytail-6-0,heavytail,6,stress,independent,False,False,1,C_M,0.0,0.0,True,0.5426481072748779,0.08684642189164463
heavytail-6-0,heavytail,6,stress,joint,False,False,1,C_M,0.0,0.0,True,0.3376507474369558,0.060156022296023626
heavytail-6-1,heavytail,6,stress,independent,False,False,0,C_25,0.0,4.0,True,1.0,0.13814560466700354
heavytail-6-1,heavytail,6,stress,joint,False,False,0,C_25,0.0,3.0,True,0.690074587979589,0.09730084289711086
heavytail-6-2,heavytail,6,stress,independent,False,False,4,C_M,0.0,8.0,True,0.4152988959748277,0.060238542131170435
heavytail-6-2,heavytail,6,stress,joint,False,False,4,C_M,0.0,7.0,True,0.23523034153504585,0.03729451731905932
heavytail-6-3,heavytail,6,stress,independent,False,False,0,C_M,0.0,11.0,True,0.5691076311276447,0.09496471938232358
heavytail-6-3,heavytail,6,stress,joint,False,False,0,C_M,0.0,11.0,True,0.3435823486838149,0.0640315553028741
heavytail-6-4,heavytail,6,stress,independent,False,False,7,C_M,10.0,0.0,False,0.6388398559075961,0.10507476077271397
heavytail-6-4,heavytail,6,stress,joint,False,False,7,C_M,8.0,0.0,False,0.41953454576874777,0.07493786855370946
heavytail-6-5,heavytail,6,stress,independent,False,False,4,C_M,14.0,13.0,False,0.6445737985480091,0.09827871291661473
heavytail-6-5,heavytail,6,stress,joint,False,False,4,C_M,7.0,10.0,False,0.4241539785884332,0.06979795554032867
heavytail-6-6,heavytail,6,stress,independent,False,False,7,C_M,0.0,0.0,True,0.301953918010349,0.05242174337416443
heavytail-6-6,heavytail,6,stress,joint,False,False,7,C_M,0.0,0.0,True,0.1638296594543931,0.031759525129792646
heavytail-6-7,heavytail,6,stress,independent,False,False,6,C_M,0.0,0.0,True,0.7401082740637486,0.11907311965210172
heavytail-6-7,heavytail,6,stress,joint,False,False,6,C_M,0.0,0.0,True,0.48756550522358477,0.0841707476785241
heavytail-10-0,heavytail,10,stress,independent,False,False,5,C_M,11.0,3.0,False,0.5733032243365472,0.05743945639511181
heavytail-10-0,heavytail,10,stress,joint,False,False,5,C_M,11.0,0.0,False,0.34129490488439296,0.03748574538606223
