instance,family,data_split,arm,budget,certified_volume,certified,seconds
spherical-6-2,spherical,development,A0_global_independent,1024,0.0,False,0.47445491701364517
spherical-6-2,spherical,development,A3_decision_joint_relevant,64,1.0,True,0.0011334579903632402
spherical-6-2,spherical,development,A3_decision_joint_relevant,256,1.0,True,0.0010947079863399267
spherical-6-2,spherical,development,A3_decision_joint_relevant,1024,1.0,True,0.0010869590332731605
spherical-6-3,spherical,calibration,A0_global_independent,64,0.0,False,0.027506374986842275
spherical-6-3,spherical,calibration,A0_global_independent,256,0.0,False,0.11901241599116474
spherical-6-3,spherical,calibration,A0_global_independent,1024,0.0,False,0.4834526249906048
spherical-6-3,spherical,calibration,A3_decision_joint_relevant,64,3.410605131648481e-13,False,0.039774624980054796
spherical-6-3,spherical,calibration,A3_decision_joint_relevant,256,2.6432189770275727e-12,False,0.15009487501811236
spherical-6-3,spherical,calibration,A3_decision_joint_relevant,1024,1.043076736095827e-11,False,0.582079290994443
spherical-6-4,spherical,test,A0_global_independent,64,0.0,False,0.027135665994137526
spherical-6-4,spherical,test,A0_global_independent,256,0.0,False,0.10941525001544505
spherical-6-4,spherical,test,A0_global_independent,1024,0.0,False,0.4339728329796344
spherical-6-4,spherical,test,A3_decision_joint_relevant,64,5.340576171875e-05,False,0.040499333990737796
spherical-6-4,spherical,test,A3_decision_joint_relevant,256,0.0002117156982421875,False,0.1503953339997679
spherical-6-4,spherical,test,A3_decision_joint_relevant,1024,0.000652313232421875,False,0.5875094159273431
spherical-6-5,spherical,test,A0_global_independent,64,0.0,False,0.02787408302538097
spherical-6-5,spherical,test,A0_global_independent,256,0.0,False,0.1098924590041861
spherical-6-5,spherical,test,A0_global_independent,1024,0.0,False,0.4409750000340864
spherical-6-5,spherical,test,A3_decision_joint_relevant,64,0.0068359375,False,0.03836029104422778
spherical-6-5,spherical,test,A3_decision_joint_relevant,256,0.0196533203125,False,0.1494065000442788
spherical-6-5,spherical,test,A3_decision_joint_relevant,1024,0.08203125,False,0.5879641660721973
spherical-6-6,spherical,test,A0_global_independent,64,0.0,False,0.027473874972201884
spherical-6-6,spherical,test,A0_global_independent,256,0.0,False,0.1250005830079317
spherical-6-6,spherical,test,A0_global_independent,1024,0.0,False,0.5050544999539852
spherical-6-6,spherical,test,A3_decision_joint_relevant,64,2.9802322387695312e-08,False,0.04572916706092656
spherical-6-6,spherical,test,A3_decision_joint_relevant,256,1.993030309677124e-07,False,0.1574959580320865
spherical-6-6,spherical,test,A3_decision_joint_relevant,1024,6.547197699546814e-07,False,0.622447874979116
spherical-6-7,spherical,test,A0_global_independent,64,0.0,False,0.028168375021778047
spherical-6-7,spherical,test,A0_global_independent,256,0.0,False,0.12219116697087884
spherical-6-7,spherical,test,A0_global_independent,1024,0.0,False,0.5062016660813242
spherical-6-7,spherical,test,A3_decision_joint_relevant,64,0.0107421875,False,0.04425087501294911
spherical-6-7,spherical,test,A3_decision_joint_relevant,256,0.0380859375,False,0.17152808292303234
spherical-6-7,spherical,test,A3_decision_joint_relevant,1024,0.111328125,False,0.6775252919178456
spherical-10-0,spherical,development,A0_global_independent,64,0.0,False,0.03715429094154388
spherical-10-0,spherical,development,A0_global_independent,256,0.0,False,0.14651612506713718
spherical-10-0,spherical,development,A0_global_independent,1024,0.0,False,0.5805645419750363
spherical-10-0,spherical,development,A3_decision_joint_relevant,64,1.3877787807814457e-17,False,0.06771904195193201
spherical-10-0,spherical,development,A3_decision_joint_relevant,256,3.191891195797325e-16,False,0.2038422910263762
spherical-10-0,spherical,development,A3_decision_joint_relevant,1024,1.6410484082740595e-15,False,0.7423512500245124
spherical-10-1,spherical,development,A0_global_independent,64,0.0,False,0.03634795802645385
spherical-10-1,spherical,development,A0_global_independent,256,0.0,False,0.14701125002466142
spherical-10-1,spherical,development,A0_global_independent,1024,0.0,False,0.5825664579169825
spherical-10-1,spherical,development,A3_decision_joint_relevant,64,0.0,False,0.06557541701477021
spherical-10-1,spherical,development,A3_decision_joint_relevant,256,0.0,False,0.24404324998613447
spherical-10-1,spherical,development,A3_decision_joint_relevant,1024,0.0,False,0.9485081249149516
spherical-10-2,spherical,development,A0_global_independent,64,0.0,False,0.03632670803926885
spherical-10-2,spherical,development,A0_global_independent,256,0.0,False,0.14360291697084904
spherical-10-2,spherical,development,A0_global_independent,1024,0.0,False,0.6113154580816627
spherical-10-2,spherical,development,A3_decision_joint_relevant,64,0.0,False,0.05292237503454089
spherical-10-2,spherical,development,A3_decision_joint_relevant,256,0.0,False,0.18635320803150535
spherical-10-2,spherical,development,A3_decision_joint_relevant,1024,0.0,False,0.7198854169109836
spherical-10-3,spherical,calibration,A0_global_independent,64,0.0,False,0.03830175008624792
spherical-10-3,spherical,calibration,A0_global_independent,256,0.0,False,0.1558092919876799
spherical-10-3,spherical,calibration,A0_global_independent,1024,0.0,False,0.6063271670136601
spherical-10-3,spherical,calibration,A3_decision_joint_relevant,64,0.0,False,0.05202400009147823
spherical-10-3,spherical,calibration,A3_decision_joint_relevant,256,0.0,False,0.18758887494914234
spherical-10-3,spherical,calibration,A3_decision_joint_relevant,1024,0.0,False,0.7359292089240626
spherical-10-4,spherical,test,A0_global_independent,64,0.0,False,0.03661491710226983
spherical-10-4,spherical,test,A0_global_independent,256,0.0,False,0.14450775005389005
spherical-10-4,spherical,test,A0_global_independent,1024,0.0,False,0.5849380829604343
spherical-10-4,spherical,test,A3_decision_joint_relevant,64,2.2737367544323206e-13,False,0.05557304201647639
spherical-10-4,spherical,test,A3_decision_joint_relevant,256,5.4569682106375694e-12,False,0.18613212509080768
spherical-10-4,spherical,test,A3_decision_joint_relevant,1024,2.212274807789072e-11,False,0.729310791939497
spherical-10-5,spherical,test,A0_global_independent,64,0.0,False,0.03686816699337214
spherical-10-5,spherical,test,A0_global_independent,256,0.0,False,0.14535854198038578
spherical-10-5,spherical,test,A0_global_independent,1024,0.0,False,0.6621646250132471
spherical-10-5,spherical,test,A3_decision_joint_relevant,64,0.21875,False,0.047340999939478934
spherical-10-5,spherical,test,A3_decision_joint_relevant,256,0.65625,False,0.18588925001677126
spherical-10-5,spherical,test,A3_decision_joint_relevant,1024,1.0,True,0.3676169579848647
spherical-10-6,spherical,test,A0_global_independent,64,0.0,False,0.03516629198566079
spherical-10-6,spherical,test,A0_global_independent,256,0.0,False,0.14251874992623925
spherical-10-6,spherical,test,A0_global_independent,1024,0.0,False,0.5650066250236705
spherical-10-6,spherical,test,A3_decision_joint_relevant,64,0.0,False,0.047692916938103735
spherical-10-6,spherical,test,A3_decision_joint_relevant,256,0.0,False,0.17993874999228865
spherical-10-6,spherical,test,A3_decision_joint_relevant,1024,0.0,False,0.7232788329711184
spherical-10-7,spherical,test,A0_global_independent,64,0.0,False,0.03713366691954434
spherical-10-7,spherical,test,A0_global_independent,256,0.0,False,0.1444154999917373
spherical-10-7,spherical,test,A0_global_independent,1024,0.0,False,0.5725036669755355
spherical-10-7,spherical,test,A3_decision_joint_relevant,64,4.656612873077393e-10,False,0.04972833301872015
spherical-10-7,spherical,test,A3_decision_joint_relevant,256,3.259629011154175e-09,False,0.1808092910796404
spherical-10-7,spherical,test,A3_decision_joint_relevant,1024,1.4493707567453384e-08,False,0.712773707928136
convex-3-0,convex,development,A0_global_independent,64,3.552713678800501e-15,False,0.03794287494383752
convex-3-0,convex,development,A0_global_independent,256,3.197442310920451e-14,False,0.2579962919699028
convex-3-0,convex,development,A0_global_independent,1024,1.4566126083082054e-13,False,1.1424259589985013
convex-3-0,convex,development,A3_decision_joint_relevant,64,1.0,True,0.000881417072378099
convex-3-0,convex,development,A3_decision_joint_relevant,256,1.0,True,0.0008632909739390016
convex-3-0,convex,development,A3_decision_joint_relevant,1024,1.0,True,0.0008555409731343389
convex-3-1,convex,development,A0_global_independent,64,1.0231815394945443e-12,False,0.04167737497482449
convex-3-1,convex,development,A0_global_independent,256,4.270361841918202e-12,False,0.26217212504707277
convex-3-1,convex,development,A0_global_independent,1024,6.561862164744525e-12,False,1.1523234159685671
convex-3-1,convex,development,A3_decision_joint_relevant,64,1.0,True,0.000921625061891973
convex-3-1,convex,development,A3_decision_joint_relevant,256,1.0,True,0.0008994160452857614
convex-3-1,convex,development,A3_decision_joint_relevant,1024,1.0,True,0.0008849159348756075
convex-3-2,convex,development,A0_global_independent,64,5.204170427930421e-18,False,0.03221833403222263
convex-3-2,convex,development,A0_global_independent,256,8.326672684688674e-17,False,0.2058876670198515
convex-3-2,convex,development,A0_global_independent,1024,5.785302792382652e-16,False,0.9219916670117527
convex-3-2,convex,development,A3_decision_joint_relevant,64,1.0,True,0.0009394160006195307
convex-3-2,convex,development,A3_decision_joint_relevant,256,1.0,True,0.0008663330227136612
convex-3-2,convex,development,A3_decision_joint_relevant,1024,1.0,True,0.000851290998980403
convex-3-3,convex,calibration,A0_global_independent,64,0.0,False,0.02297516691032797
convex-3-3,convex,calibration,A0_global_independent,256,0.0,False,0.11991662508808076
convex-3-3,convex,calibration,A0_global_independent,1024,1.8648277366750676e-16,False,0.6397845830069855
convex-3-3,convex,calibration,A3_decision_joint_relevant,64,1.0,True,0.0008795420872047544
convex-3-3,convex,calibration,A3_decision_joint_relevant,256,1.0,True,0.0008556669345125556
convex-3-3,convex,calibration,A3_decision_joint_relevant,1024,1.0,True,0.0008475829381495714
convex-3-4,convex,test,A0_global_independent,64,1.9895196601282805e-13,False,0.032099916017614305
convex-3-4,convex,test,A0_global_independent,256,1.8474111129762605e-12,False,0.19427083409391344
