family,m,N,K,rho_max,margin,flip_rate,class_size
DTLZ,9,362,11,-0.0034355537107407944,0.007089141886795991,0.9,12
DTLZ,7,479,9,-0.04839860010336075,0.006154611480253869,0.3,4
DTLZ,12,223,14,0.07454594481060026,0.0015769225705443146,0.8,6
DTLZ,7,344,9,-0.04407015997909109,0.01839540621737168,0.525,4
DTLZ,14,429,16,0.043208900604209066,0.012683812350344548,0.325,5
DTLZ,15,301,17,0.10478042691249778,0.00397323662014426,0.125,2
DTLZ,3,145,5,-0.4194970710560873,0.014670157048986221,0.475,7
DTLZ,13,470,15,0.03990790629876499,0.0010069560074650319,0.95,10
DTLZ,6,63,8,0.08322486761289948,0.0011285396577042084,0.675,9
DTLZ,11,232,13,0.054909069162625584,0.0030059157629028777,1.0,7
DTLZ,11,213,13,0.052584165223484754,0.006381483559359968,0.425,7
DTLZ,12,69,14,0.19586168318132352,0.05073199223135427,0.225,5
DTLZ,3,485,5,-0.41166601543882664,0.0021184568316395813,0.825,11
DTLZ,14,433,16,0.08080026490343412,0.017382732242060883,0.05,3
DTLZ,10,417,12,-0.013926700100359648,0.03479358544495881,0.35,4
DTLZ,11,102,13,0.1423379896162817,0.023308231750308495,0.25,4
DTLZ,5,261,7,-0.14231614865720227,0.013175392189253454,0.6,7
DTLZ,8,425,10,-0.06472116923592033,0.0023110589368583456,0.725,5
DTLZ,15,375,17,0.13042064387682825,0.011161724910243143,0.2,4
DTLZ,15,159,17,0.1195260949315555,0.026759543937257546,0.45,5
DTLZ,4,213,6,-0.26865889032385815,0.005535529257333471,0.575,8
DTLZ,8,296,10,-0.02059749393257876,0.006956633805390466,0.65,6
DTLZ,15,314,17,0.14537668594626366,0.018303618351001694,0.075,4
DTLZ,8,161,10,-0.014782957419332228,0.031538487194969655,0.175,3
DTLZ,10,257,12,0.048169746344447976,0.031229110623240852,0.075,2
DTLZ,11,136,13,0.08549889742886049,0.01118031037508982,0.5,8
DTLZ,14,287,16,0.11291904452660148,0.02127546238320943,0.75,6
DTLZ,8,340,10,0.017619958516995455,0.003840835352354688,0.775,11
DTLZ,5,165,7,-0.10768044102678424,0.0020185489902315723,0.525,7
DTLZ,12,297,14,0.08971138788779777,0.029209982191548356,0.45,5
DTLZ,4,102,6,-0.16969853508221158,0.0038555642649030775,0.525,5
DTLZ,3,479,5,-0.42975173142363127,0.0011705073697870771,0.9,10
DTLZ,15,158,17,0.14467096971218432,0.0038198305644843167,0.425,5
DTLZ,4,194,6,-0.22518134315544672,0.018853507253609347,0.2,4
DTLZ,4,484,6,-0.2328534298751791,0.008555218671811304,0.35,5
DTLZ,5,305,7,-0.09487818864879807,0.02335474117020253,0.5,6
DTLZ,3,494,5,-0.4527125872136949,0.010314839813361787,0.575,8
DTLZ,8,177,10,0.007075535333149776,0.018926704575978004,0.3,2
DTLZ,15,385,17,0.09753612620569424,0.0122893054360389,0.6,5
DTLZ,7,246,9,-0.06386338961820315,0.019579204647660386,0.825,7
DTLZ,5,163,7,-0.058232754074871204,0.01170267957450799,0.475,7
DTLZ,3,71,5,-0.36634307034522656,0.0072079630578800735,0.975,8
DTLZ,14,427,16,0.028630600130223068,0.00045247100660583683,0.975,8
DTLZ,11,350,13,0.0278989096754452,0.013318943574757824,0.6,7
DTLZ,6,365,8,-0.11373405609520629,0.0021154954524797986,0.275,7
DTLZ,11,450,13,0.019447350990271464,0.005943004578140787,0.7,4
DTLZ,3,96,5,-0.24096544909403458,0.005320238570704072,0.625,4
DTLZ,4,368,6,-0.23370191174776322,0.0033428461695167444,0.975,10
DTLZ,14,265,16,0.060322695926268884,0.025367521983427288,0.45,6
DTLZ,9,295,11,0.05080531838672076,0.005380532425314222,0.55,4
DTLZ,4,499,6,-0.24962091058528918,0.03107823000810006,0.175,5
DTLZ,5,450,7,-0.17420331698912936,0.00586555534233657,0.5,5
DTLZ,7,89,9,0.011924763093683904,0.00228791270072215,0.525,3
DTLZ,6,310,8,-0.14524530814951553,0.009669892075726105,0.725,8
DTLZ,12,116,14,0.11891192091095518,0.0010280220440550547,0.575,5
DTLZ,14,126,16,0.1291396915089981,0.00984462232916572,0.725,5
DTLZ,10,163,12,0.08951679110686368,0.004764020043577344,0.2,5
DTLZ,3,299,5,-0.3970221463763214,0.0013848724642131494,0.6,7
DTLZ,9,447,11,-0.024211924147957108,0.017680088884066247,0.725,8
DTLZ,11,274,13,0.0365550621020982,0.004746404270967841,0.475,8
DTLZ,7,177,9,-0.0771934378087904,0.0007039684847802707,0.725,7
DTLZ,8,124,10,0.04214138095694295,0.0027249875476149654,0.6,5
DTLZ,10,99,12,0.0462082815310599,0.005201293055858702,0.75,9
DTLZ,4,228,6,-0.2566125433312548,0.003121017303054696,0.7,6
DTLZ,9,109,11,0.08657152028659189,0.004147864775227883,0.5,3
DTLZ,12,380,14,0.06217160897569984,0.01310316873758477,0.25,5
DTLZ,11,284,13,0.030414536039912846,0.0034822806266333606,0.85,8
DTLZ,14,233,16,0.12717105790856964,0.00473072337488456,0.725,7
DTLZ,13,172,15,0.09141780309849593,0.013827451851769923,0.3,4
